Image,Detected Object(s),Generated_Image_Path
7939.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\7939.jpeg
794.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'spider monkey, Ateles geoffroyi', 'flute, transverse flute', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\794.jpeg
7940.jpeg,"['jeep, landrover', 'baboon']",images\7940.jpeg
795.jpeg,"['valley, vale', 'alp', 'volcano', 'cliff, drop, drop-off', 'seashore, coast, seacoast, sea-coast']",images\795.jpeg
7954.jpeg,"['valley, vale', 'seashore, coast, seacoast, sea-coast', 'cliff, drop, drop-off', 'promontory, headland, head, foreland']",images\7954.jpeg
7957.jpeg,"['jeep, landrover', 'langur', 'mountain bike, all-terrain bike, off-roader', 'chimpanzee, chimp, Pan troglodytes', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\7957.jpeg
796.jpeg,"['impala, Aepyceros melampus', 'ibex, Capra ibex', 'lakeside, lakeshore', 'gazelle', 'hartebeest']",images\796.jpeg
7963.jpeg,"['patio, terrace', 'bannister, banister, balustrade, balusters, handrail', 'window screen', 'boathouse']",images\7963.jpeg
7967.jpeg,"['canoe', 'paddle, boat paddle', 'lakeside, lakeshore']",images\7967.jpeg
7969.jpeg,"['cliff, drop, drop-off', 'web site, website, internet site, site', 'valley, vale', 'comic book', 'cliff dwelling']",images\7969.jpeg
7971.jpeg,"['web site, website, internet site, site', 'comic book', 'jeep, landrover', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'grille, radiator grille']",images\7971.jpeg
7973.jpeg,"['mountain bike, all-terrain bike, off-roader', 'gibbon, Hylobates lar', 'alp', 'maze, labyrinth', 'valley, vale']",images\7973.jpeg
798.jpeg,"['rugby ball', 'web site, website, internet site, site', 'airship, dirigible', 'parachute, chute', 'book jacket, dust cover, dust jacket, dust wrapper']",images\798.jpeg
7988.jpeg,"['fountain', 'paddle, boat paddle', 'reel', 'hippopotamus, hippo, river horse, Hippopotamus amphibius', 'amphibian, amphibious vehicle']",images\7988.jpeg
799.jpeg,"['bow tie, bow-tie, bowtie', 'binoculars, field glasses, opera glasses', 'comic book']",images\799.jpeg
7993.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\7993.jpeg
7995.jpeg,"['moped', 'baboon', 'langur', 'motor scooter, scooter', 'spider monkey, Ateles geoffroyi']",images\7995.jpeg
80.jpeg,"['stethoscope', 'comic book']",images\80.jpeg
800.jpeg,"['comic book', 'jigsaw puzzle', 'tray', 'shower curtain']",images\800.jpeg
8000.jpeg,"['binoculars, field glasses, opera glasses', 'comic book']",images\8000.jpeg
8006.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'brass, memorial tablet, plaque', 'bookshop, bookstore, bookstall', 'web site, website, internet site, site']",images\8006.jpeg
801.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'langur', 'comic book', 'gibbon, Hylobates lar']",images\801.jpeg
8017.jpeg,"['baboon', 'orangutan, orang, orangutang, Pongo pygmaeus', 'gorilla, Gorilla gorilla', 'jeep, landrover', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\8017.jpeg
802.jpeg,"['meerkat, mierkat', 'mongoose', 'sandbar, sand bar']",images\802.jpeg
8022.jpeg,"['alp', 'valley, vale']",images\8022.jpeg
8025.jpeg,"['torch', 'candle, taper, wax light', 'mountain tent', 'spider monkey, Ateles geoffroyi', 'macaque']",images\8025.jpeg
8026.jpeg,"['spider monkey, Ateles geoffroyi', 'unicycle, monocycle', 'colobus, colobus monkey', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'macaque']",images\8026.jpeg
803.jpeg,"['valley, vale', 'alp', 'lakeside, lakeshore', 'geyser', 'dam, dike, dyke']",images\803.jpeg
8038.jpeg,"['briard', 'komondor', 'macaque', 'swab, swob, mop', 'baboon']",images\8038.jpeg
8039.jpeg,"['giant schnauzer', 'American black bear, black bear, Ursus americanus, Euarctos americanus', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor', 'Kerry blue terrier']",images\8039.jpeg
8042.jpeg,"['gibbon, Hylobates lar', 'langur']",images\8042.jpeg
805.jpeg,"['web site, website, internet site, site', 'spotlight, spot', 'television, television system']",images\805.jpeg
8059.jpeg,"['king penguin, Aptenodytes patagonica', 'sea lion', 'warplane, military plane']",images\8059.jpeg
806.jpeg,"['pier', 'suspension bridge', 'web site, website, internet site, site', 'steel arch bridge', 'viaduct']",images\806.jpeg
8060.jpeg,"['racer, race car, racing car', 'limousine, limo', 'cab, hack, taxi, taxicab', 'bannister, banister, balustrade, balusters, handrail', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\8060.jpeg
8064.jpeg,"['alp', 'snowmobile', 'valley, vale']",images\8064.jpeg
8067.jpeg,"['lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8067.jpeg
8069.jpeg,"['mobile home, manufactured home', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8069.jpeg
807.jpeg,"['home theater, home theatre', 'entertainment center', 'television, television system']",images\807.jpeg
808.jpeg,"['koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus', 'Madagascar cat, ring-tailed lemur, Lemur catta', 'wallaby, brush kangaroo', 'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor', 'three-toed sloth, ai, Bradypus tridactylus']",images\808.jpeg
8083.jpeg,"['lakeside, lakeshore', 'boathouse']",images\8083.jpeg
8086.jpeg,"['sea lion', 'comic book', 'maze, labyrinth', 'sarong', 'bathing cap, swimming cap']",images\8086.jpeg
809.jpeg,"['web site, website, internet site, site', 'lakeside, lakeshore', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'paddle, boat paddle']",images\809.jpeg
81.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'minivan']",images\81.jpeg
810.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'baboon', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla']",images\810.jpeg
8107.jpeg,"['shovel', 'barrow, garden cart, lawn cart, wheelbarrow']",images\8107.jpeg
8108.jpeg,"['jeep, landrover', 'pickup, pickup truck', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\8108.jpeg
811.jpeg,"['briard', 'Bouvier des Flandres, Bouviers des Flandres']",images\811.jpeg
8116.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon', 'macaque', 'guenon, guenon monkey', 'gibbon, Hylobates lar']",images\8116.jpeg
8117.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar', 'spider monkey, Ateles geoffroyi']",images\8117.jpeg
812.jpeg,"['cab, hack, taxi, taxicab', 'seat belt, seatbelt', 'joystick', 'golfcart, golf cart', 'fire engine, fire truck']",images\812.jpeg
8121.jpeg,"['mixing bowl', 'beer glass', 'tray', 'nematode, nematode worm, roundworm', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8121.jpeg
8130.jpeg,"['maze, labyrinth', 'valley, vale']",images\8130.jpeg
8135.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\8135.jpeg
815.jpeg,"['langur', 'patas, hussar monkey, Erythrocebus patas', 'guenon, guenon monkey', 'macaque', 'colobus, colobus monkey']",images\815.jpeg
816.jpeg,['mountain tent'],images\816.jpeg
8165.jpeg,"['ski', 'spotlight, spot', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'cassette']",images\8165.jpeg
8171.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'baboon', 'bannister, banister, balustrade, balusters, handrail', 'fountain']",images\8171.jpeg
8183.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'maze, labyrinth', 'jigsaw puzzle']",images\8183.jpeg
8184.jpeg,"['sandbar, sand bar', 'lakeside, lakeshore', 'maze, labyrinth', 'valley, vale', 'seashore, coast, seacoast, sea-coast']",images\8184.jpeg
8187.jpeg,"['jigsaw puzzle', 'Irish setter, red setter', 'book jacket, dust cover, dust jacket, dust wrapper', 'Irish terrier', 'zebra']",images\8187.jpeg
819.jpeg,"['alp', 'valley, vale', 'maze, labyrinth', 'comic book', 'baboon']",images\819.jpeg
8197.jpeg,"['gazelle', 'impala, Aepyceros melampus']",images\8197.jpeg
821.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\821.jpeg
822.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\822.jpeg
8226.jpeg,"['theater curtain, theatre curtain', 'fountain', 'coil, spiral, volute, whorl, helix', 'lakeside, lakeshore', 'window shade']",images\8226.jpeg
8227.jpeg,"['jeep, landrover', 'alp']",images\8227.jpeg
823.jpeg,"['church, church building', 'bell cote, bell cot']",images\823.jpeg
8234.jpeg,"['throne', 'baboon', 'Chesapeake Bay retriever', 'Airedale, Airedale terrier', 'military uniform']",images\8234.jpeg
8236.jpeg,"['baboon', 'macaque', 'chimpanzee, chimp, Pan troglodytes']",images\8236.jpeg
8251.jpeg,['mountain tent'],images\8251.jpeg
8259.jpeg,"['hammer', 'nail', 'web site, website, internet site, site', 'hatchet', 'shovel']",images\8259.jpeg
827.jpeg,"['spider monkey, Ateles geoffroyi', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'howler monkey, howler', 'langur']",images\827.jpeg
8289.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8289.jpeg
83.jpeg,"['comic book', 'jeep, landrover', 'book jacket, dust cover, dust jacket, dust wrapper', 'cab, hack, taxi, taxicab', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\83.jpeg
8305.jpeg,"['maze, labyrinth']",images\8305.jpeg
8316.jpeg,"['gorilla, Gorilla gorilla', 'unicycle, monocycle', 'chimpanzee, chimp, Pan troglodytes', 'limousine, limo']",images\8316.jpeg
832.jpeg,"['comic book', 'monitor', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca']",images\832.jpeg
8339.jpeg,"['bubble', 'obelisk', 'viaduct', 'drumstick', 'pole']",images\8339.jpeg
8345.jpeg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'tractor', 'alp', 'snowplow, snowplough', 'jeep, landrover']",images\8345.jpeg
835.jpeg,"['valley, vale', 'skunk, polecat, wood pussy', 'weasel', 'otter', 'polecat, fitch, foulmart, foumart, Mustela putorius']",images\835.jpeg
8351.jpeg,"['wok', 'caldron, cauldron', 'torch', 'Dutch oven', 'fire screen, fireguard']",images\8351.jpeg
8375.jpeg,"['sunglasses, dark glasses, shades', 'sunglass', 'tray', 'television, television system', 'monitor']",images\8375.jpeg
8376.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'gorilla, Gorilla gorilla', 'car mirror']",images\8376.jpeg
8381.jpeg,"['fountain', 'spotlight, spot', 'palace']",images\8381.jpeg
8389.jpeg,"['spider monkey, Ateles geoffroyi', 'bannister, banister, balustrade, balusters, handrail', 'langur', 'window screen', 'sliding door']",images\8389.jpeg
8392.jpeg,"['bannister, banister, balustrade, balusters, handrail', 'ski', 'fountain']",images\8392.jpeg
8394.jpeg,"['jigsaw puzzle', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'Kerry blue terrier', 'palace']",images\8394.jpeg
8405.jpeg,['baboon'],images\8405.jpeg
8406.jpeg,"['studio couch, day bed', 'four-poster', 'quilt, comforter, comfort, puff', 'rocking chair, rocker']",images\8406.jpeg
8407.jpeg,"['comic book', 'mask', 'ski mask', 'gasmask, respirator, gas helmet']",images\8407.jpeg
8409.jpeg,['mountain tent'],images\8409.jpeg
841.jpeg,"['fountain', 'convertible', 'tub, vat']",images\841.jpeg
8417.jpeg,"['bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis', 'alp', 'zebra', 'valley, vale', 'llama']",images\8417.jpeg
8420.jpeg,['standard poodle'],images\8420.jpeg
8429.jpeg,"['tusker', 'Indian elephant, Elephas maximus', 'African elephant, Loxodonta africana']",images\8429.jpeg
8435.jpeg,"['web site, website, internet site, site', 'ladle', 'nematode, nematode worm, roundworm', 'hook, claw', 'maraca']",images\8435.jpeg
8438.jpeg,"['spotlight, spot', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'macaque', 'stage']",images\8438.jpeg
8441.jpeg,"['spotlight, spot', 'langur', 'baboon', 'fountain', 'Weimaraner']",images\8441.jpeg
8446.jpeg,"['baboon', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'minivan']",images\8446.jpeg
8450.jpeg,"['fountain', 'jigsaw puzzle', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\8450.jpeg
8451.jpeg,"['lakeside, lakeshore']",images\8451.jpeg
8454.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'cab, hack, taxi, taxicab', 'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria', 'minibus', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']",images\8454.jpeg
8456.jpeg,"['gorilla, Gorilla gorilla', 'sloth bear, Melursus ursinus, Ursus ursinus', 'otter', 'chimpanzee, chimp, Pan troglodytes', 'megalith, megalithic structure']",images\8456.jpeg
846.jpeg,"['alp', 'snowmobile', 'web site, website, internet site, site', 'dogsled, dog sled, dog sleigh', 'valley, vale']",images\846.jpeg
8460.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'barn']",images\8460.jpeg
8463.jpeg,"['lakeside, lakeshore']",images\8463.jpeg
847.jpeg,"['boathouse', 'sandbar, sand bar', 'patas, hussar monkey, Erythrocebus patas', 'langur', 'bikini, two-piece']",images\847.jpeg
8487.jpeg,"['llama', 'Irish wolfhound', 'Irish setter, red setter', 'Irish terrier', 'Leonberg']",images\8487.jpeg
849.jpeg,"['lumbermill, sawmill', 'Indian cobra, Naja naja', 'sandal', 'spider monkey, Ateles geoffroyi', 'squirrel monkey, Saimiri sciureus']",images\849.jpeg
8494.jpeg,"['laptop, laptop computer', 'notebook, notebook computer', 'monitor', 'collie', 'Siamese cat, Siamese']",images\8494.jpeg
85.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'picket fence, paling', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty']",images\85.jpeg
8502.jpeg,"['flatworm, platyhelminth', 'rock beauty, Holocanthus tricolor']",images\8502.jpeg
8514.jpeg,"['suspension bridge', 'minivan', 'convertible', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'traffic light, traffic signal, stoplight']",images\8514.jpeg
8517.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'langur']",images\8517.jpeg
8527.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'comic book', 'gorilla, Gorilla gorilla', 'fountain']",images\8527.jpeg
8530.jpeg,"['baboon', 'gorilla, Gorilla gorilla', 'macaque', 'gibbon, Hylobates lar', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\8530.jpeg
8532.jpeg,"['maze, labyrinth', 'sandbar, sand bar', 'valley, vale', 'lakeside, lakeshore', 'alp']",images\8532.jpeg
8543.jpeg,"['briard', 'giant schnauzer', 'spider monkey, Ateles geoffroyi', 'Afghan hound, Afghan', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\8543.jpeg
8547.jpeg,"['baboon', 'macaque', 'guenon, guenon monkey', 'patas, hussar monkey, Erythrocebus patas', 'langur']",images\8547.jpeg
8549.jpeg,"['snowmobile', 'snowplow, snowplough', 'fountain', 'spotlight, spot']",images\8549.jpeg
856.jpeg,"['chimpanzee, chimp, Pan troglodytes']",images\856.jpeg
8561.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'brass, memorial tablet, plaque']",images\8561.jpeg
8587.jpeg,"['valley, vale', 'alp', 'lakeside, lakeshore', 'castle']",images\8587.jpeg
859.jpeg,"['gibbon, Hylobates lar']",images\859.jpeg
8591.jpeg,"['Newfoundland, Newfoundland dog', 'Afghan hound, Afghan', 'baboon', 'giant schnauzer', 'briard']",images\8591.jpeg
8595.jpeg,"['gibbon, Hylobates lar', 'langur', 'chimpanzee, chimp, Pan troglodytes', 'spider monkey, Ateles geoffroyi', 'macaque']",images\8595.jpeg
8597.jpeg,"['dogsled, dog sled, dog sleigh', 'book jacket, dust cover, dust jacket, dust wrapper', 'snowmobile', 'ski', 'shovel']",images\8597.jpeg
8598.jpeg,"['ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus', 'standard poodle', 'gibbon, Hylobates lar', 'brown bear, bruin, Ursus arctos', 'indri, indris, Indri indri, Indri brevicaudatus']",images\8598.jpeg
861.jpeg,"['valley, vale', 'scuba diver', 'lakeside, lakeshore', 'alp', 'canoe']",images\861.jpeg
8621.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes', 'spider monkey, Ateles geoffroyi', 'gibbon, Hylobates lar']",images\8621.jpeg
8633.jpeg,"['alp', 'limousine, limo', 'unicycle, monocycle', 'racer, race car, racing car', 'mountain bike, all-terrain bike, off-roader']",images\8633.jpeg
8635.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'Kerry blue terrier', 'comic book']",images\8635.jpeg
865.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus']",images\865.jpeg
8650.jpeg,"['theater curtain, theatre curtain', 'shower curtain', 'window shade']",images\8650.jpeg
8670.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8670.jpeg
8678.jpeg,"['baboon', 'macaque', 'guenon, guenon monkey', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes']",images\8678.jpeg
8679.jpeg,"['baboon', 'maze, labyrinth', 'Scottish deerhound, deerhound', 'standard poodle', 'gibbon, Hylobates lar']",images\8679.jpeg
868.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book', 'brass, memorial tablet, plaque', 'zebra']",images\868.jpeg
8680.jpeg,"['lakeside, lakeshore', 'palace', 'castle', 'book jacket, dust cover, dust jacket, dust wrapper', 'jigsaw puzzle']",images\8680.jpeg
8685.jpeg,"['ibex, Capra ibex', 'rifle', 'warthog', 'military uniform', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']",images\8685.jpeg
8696.jpeg,"['cloak', 'bow tie, bow-tie, bowtie', 'abaya', 'book jacket, dust cover, dust jacket, dust wrapper', 'fur coat']",images\8696.jpeg
8715.jpeg,"['streetcar, tram, tramcar, trolley, trolley car', 'bannister, banister, balustrade, balusters, handrail', 'unicycle, monocycle', 'alp', 'pole']",images\8715.jpeg
8717.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon', 'chimpanzee, chimp, Pan troglodytes', 'patas, hussar monkey, Erythrocebus patas']",images\8717.jpeg
8729.jpeg,"['recreational vehicle, RV, R.V.', 'mobile home, manufactured home']",images\8729.jpeg
8730.jpeg,"['geyser', 'alp', 'valley, vale', 'maze, labyrinth', 'lakeside, lakeshore']",images\8730.jpeg
8732.jpeg,"['alp', 'mountain bike, all-terrain bike, off-roader', 'unicycle, monocycle', 'bicycle-built-for-two, tandem bicycle, tandem', 'maypole']",images\8732.jpeg
8735.jpeg,"['manhole cover', 'sandbar, sand bar', 'maze, labyrinth', 'seashore, coast, seacoast, sea-coast', 'trilobite']",images\8735.jpeg
874.jpeg,"['Tibetan mastiff', 'jean, blue jean, denim', 'comic book', 'Great Pyrenees', 'bell cote, bell cot']",images\874.jpeg
8745.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'lumbermill, sawmill', 'baboon', 'macaque', 'gorilla, Gorilla gorilla']",images\8745.jpeg
8748.jpeg,"['castle', 'cliff, drop, drop-off', 'monastery', 'megalith, megalithic structure', 'stupa, tope']",images\8748.jpeg
875.jpeg,"['comic book', 'mountain tent', 'alp', 'lakeside, lakeshore', 'book jacket, dust cover, dust jacket, dust wrapper']",images\875.jpeg
8777.jpeg,"['bucket, pail', 'fountain', 'book jacket, dust cover, dust jacket, dust wrapper', 'sweatshirt', 'indri, indris, Indri indri, Indri brevicaudatus']",images\8777.jpeg
8778.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\8778.jpeg
878.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\878.jpeg
8784.jpeg,"['langur', 'web site, website, internet site, site', 'baboon', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\8784.jpeg
8785.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus']",images\8785.jpeg
8790.jpeg,"['tow truck, tow car, wrecker', 'steel arch bridge', 'amphibian, amphibious vehicle', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'pier']",images\8790.jpeg
8792.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'monitor']",images\8792.jpeg
8796.jpeg,"['web site, website, internet site, site', 'menu']",images\8796.jpeg
8797.jpeg,"['valley, vale', 'lakeside, lakeshore', 'maze, labyrinth']",images\8797.jpeg
880.jpeg,"['canoe', 'valley, vale', 'lakeside, lakeshore', 'paddle, boat paddle', 'volcano']",images\880.jpeg
8804.jpeg,"['brass, memorial tablet, plaque']",images\8804.jpeg
8811.jpeg,['fountain'],images\8811.jpeg
8819.jpeg,"['gibbon, Hylobates lar', 'langur']",images\8819.jpeg
882.jpeg,"['minivan', 'minibus', 'recreational vehicle, RV, R.V.', 'fountain', 'monitor']",images\882.jpeg
883.jpeg,"['mountain tent', 'moped', 'motor scooter, scooter', 'restaurant, eating house, eating place, eatery']",images\883.jpeg
8832.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\8832.jpeg
8836.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'web site, website, internet site, site', 'baboon', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8836.jpeg
8843.jpeg,"['lakeside, lakeshore', 'planetarium', 'boathouse']",images\8843.jpeg
8857.jpeg,"['spotlight, spot', 'monitor', 'cinema, movie theater, movie theatre, movie house, picture palace', 'screen, CRT screen', 'stage']",images\8857.jpeg
8861.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'guillotine', 'cello, violoncello']",images\8861.jpeg
8868.jpeg,"['dam, dike, dyke', 'valley, vale', 'volcano', 'caldron, cauldron']",images\8868.jpeg
8880.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\8880.jpeg
8888.jpeg,"['spotlight, spot', 'maze, labyrinth', 'fountain', 'alp', 'lakeside, lakeshore']",images\8888.jpeg
889.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'menu', 'comic book', 'scoreboard']",images\889.jpeg
8890.jpeg,"['gorilla, Gorilla gorilla']",images\8890.jpeg
8896.jpeg,"['paddle, boat paddle', 'fountain', 'canoe', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca']",images\8896.jpeg
89.jpeg,"['lakeside, lakeshore', 'boathouse', 'canoe', 'valley, vale']",images\89.jpeg
8905.jpeg,"['mountain bike, all-terrain bike, off-roader', 'fur coat', 'baboon']",images\8905.jpeg
8913.jpeg,"['American egret, great white heron, Egretta albus', 'spotlight, spot', 'wing', 'seashore, coast, seacoast, sea-coast', 'alp']",images\8913.jpeg
8921.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'orangutan, orang, orangutang, Pongo pygmaeus', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar']",images\8921.jpeg
8935.jpeg,"['Staffordshire bullterrier, Staffordshire bull terrier', 'American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier', 'library', 'palace', 'Rottweiler']",images\8935.jpeg
8944.jpeg,"['macaque', 'baboon', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar']",images\8944.jpeg
8948.jpeg,"['baboon', 'giant schnauzer', 'ibex, Capra ibex', 'spider monkey, Ateles geoffroyi', 'American black bear, black bear, Ursus americanus, Euarctos americanus']",images\8948.jpeg
8953.jpeg,"['alp', 'valley, vale', 'book jacket, dust cover, dust jacket, dust wrapper', 'lakeside, lakeshore', 'maze, labyrinth']",images\8953.jpeg
8972.jpeg,"['maze, labyrinth', 'coral reef', 'book jacket, dust cover, dust jacket, dust wrapper', 'coil, spiral, volute, whorl, helix', 'comic book']",images\8972.jpeg
8978.jpeg,"['bannister, banister, balustrade, balusters, handrail', 'scuba diver', 'cliff, drop, drop-off', 'wreck', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\8978.jpeg
898.jpeg,"['doormat, welcome mat', 'lens cap, lens cover', 'puck, hockey puck', 'barbershop']",images\898.jpeg
8983.jpeg,"['unicycle, monocycle', 'mountain bike, all-terrain bike, off-roader', 'bicycle-built-for-two, tandem bicycle, tandem']",images\8983.jpeg
8986.jpeg,"['pickup, pickup truck', 'minivan', 'minibus', 'park bench', 'jeep, landrover']",images\8986.jpeg
8999.jpeg,"['cab, hack, taxi, taxicab', 'spotlight, spot', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'car wheel', 'comic book']",images\8999.jpeg
9001.jpeg,"['jigsaw puzzle', 'lakeside, lakeshore', 'comic book', 'palace', 'seashore, coast, seacoast, sea-coast']",images\9001.jpeg
9005.jpeg,['volcano'],images\9005.jpeg
9009.jpeg,"['valley, vale', 'alp', 'snowmobile', 'dogsled, dog sled, dog sleigh', 'snowplow, snowplough']",images\9009.jpeg
9012.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\9012.jpeg
9018.jpeg,"['mountain tent', 'lakeside, lakeshore', 'park bench', 'sleeping bag', 'valley, vale']",images\9018.jpeg
902.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\902.jpeg
9020.jpeg,"['pole', 'lakeside, lakeshore', 'greenhouse, nursery, glasshouse', 'pier', 'bannister, banister, balustrade, balusters, handrail']",images\9020.jpeg
